model,initialization,best_val_accuracy,test_loss,test_accuracy,precision,recall,f1_score,train_time_seconds,model_path
custom,gaussian,1.0,0.12709175708682038,0.9418604651162791,0.9803921568627451,0.9259259259259259,0.9523809523809523,6.2116882998961955,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\custom_gaussian.pt
sequential,xavier,1.0,0.14501202279745146,0.9418604651162791,0.9803921568627451,0.9259259259259259,0.9523809523809523,5.656961200060323,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\sequential_xavier.pt
custom,xavier,1.0,0.10745933703904928,0.9302325581395349,0.9615384615384616,0.9259259259259259,0.9433962264150944,2.0106281999032944,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\custom_xavier.pt
sequential,gaussian,1.0,0.12024766431991445,0.9302325581395349,0.9615384615384616,0.9259259259259259,0.9433962264150944,3.4935324999969453,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\sequential_gaussian.pt
sequential,constant,1.0,0.4224896119084469,0.9186046511627907,0.9795918367346939,0.8888888888888888,0.9320388349514563,8.487574099795893,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\sequential_constant.pt
custom,constant,1.0,0.4185853150001792,0.9186046511627907,0.9795918367346939,0.8888888888888888,0.9320388349514563,6.482505799969658,C:\Users\halas\OneDrive\Bureau\DL\outputs\models\custom_constant.pt
